id_turma;id_curso;ano;periodo;media_final_geral;total_alunos;qtd_aprovado;qtd_aprovado_por_nota;total_aprovados;qtd_reprovado;qtd_reprovado_por_média_e_por_faltas;qtd_reprovado_por_faltas;qtd_reprovado_por_nota_e_falta;qtd_reprovado_por_nota;qtd_desistencia;qtd_trancado
1197784;10320810;2013;1;7.64406779661017;71;59;0;59;5;0;0;0;0;3;4
1197785;10320810;2013;1;7.551304347826086;143;115;0;115;19;0;0;0;0;3;6
1197786;10320810;2013;1;7.43240740740741;143;108;0;108;22;0;0;0;0;4;9
1197787;10320810;2013;1;6.238333333333332;127;60;0;60;43;0;0;0;0;7;17
1197789;10320810;2013;1;7.351886792452834;138;106;0;106;23;0;0;0;0;3;6
1197790;10320810;2013;1;6.348484848484848;108;33;0;33;56;0;0;0;0;1;18
1197791;10320810;2013;1;5.45;109;16;0;16;70;0;0;0;0;0;23
1197792;10320810;2013;1;6.741379310344827;124;29;0;29;67;0;0;0;0;1;27
1197793;10320810;2013;1;5.525;108;20;0;20;61;0;0;0;0;0;27
1197795;10320810;2013;1;7.516470588235294;141;85;0;85;42;0;0;0;0;4;10
1197912;10320810;2013;1;7.5;1;1;0;1;0;0;0;0;0;0;0
1198146;10320810;2013;1;10.0;5;4;0;4;0;0;0;0;0;0;1
1198180;10320810;2013;1;8.266666666666666;6;6;0;6;0;0;0;0;0;0;0
1198187;10320810;2013;1;7.5;1;1;0;1;0;0;0;0;0;0;0
1198217;10320810;2013;1;7.15;2;2;0;2;0;0;0;0;0;0;0
1198447;10320810;2013;1;6.445454545454546;68;11;0;11;35;0;0;0;0;2;20
1198448;10320810;2013;1;5.82391304347826;106;46;0;46;30;8;0;0;0;1;21
1198449;10320810;2013;1;6.896341463414635;127;82;0;82;30;0;0;0;0;3;12
1198465;10320810;2013;1;5.625;109;24;0;24;23;50;0;0;0;3;9
1198469;10320810;2013;1;6.268;120;25;0;25;40;23;0;0;0;5;27
1198470;10320810;2013;1;6.968478260869567;132;92;0;92;23;0;0;0;0;9;8
1198475;10320810;2013;1;6.497368421052631;93;38;0;38;37;0;0;0;0;2;16
1198476;10320810;2013;1;6.164935064935067;112;77;0;77;22;5;0;0;0;3;5
1198477;10320810;2013;1;7.522068965517243;148;145;0;145;3;0;0;0;0;0;0
1198480;10320810;2013;1;8.042553191489365;112;94;0;94;0;2;0;0;0;6;10
1198481;10320810;2013;1;7.92727272727273;99;88;0;88;5;0;0;0;0;6;0
1198484;10320810;2013;1;5.984210526315789;101;57;0;57;24;7;0;0;0;5;8
1198485;10320810;2013;1;5.7171875000000005;101;64;0;64;22;5;0;0;0;2;8
1198490;10320810;2013;1;6.002727272727276;133;110;0;110;15;3;0;0;0;0;5
1198493;10320810;2013;1;6.065822784810126;121;79;0;79;23;12;0;0;0;0;7
1198496;10320810;2013;1;6.282170542635662;143;129;0;129;10;1;0;0;0;0;3
1198503;10320810;2013;1;5.525;18;4;0;4;2;6;0;0;0;0;6
1198507;10320810;2013;1;5.98;22;5;0;5;6;6;0;0;0;0;5
1198508;10320810;2013;1;6.050000000000001;19;6;0;6;5;3;0;0;0;1;4
1198509;10320810;2013;1;5.05;21;2;0;2;5;6;0;0;0;1;7
1198511;10320810;2013;1;6.116666666666667;25;6;0;6;12;0;0;0;0;0;7
1198512;10320810;2013;1;6.65;28;12;0;12;13;0;0;0;0;0;3
1198513;10320810;2013;1;6.466666666666668;28;6;0;6;15;0;0;0;0;0;7
1198514;10320810;2013;1;5.9375;22;8;0;8;11;0;0;0;0;0;3
1198516;10320810;2013;1;7.275;25;4;0;4;15;0;0;0;0;0;6
1198517;10320810;2013;1;7.181249999999999;32;16;0;16;10;0;0;0;0;1;5
1198518;10320810;2013;1;6.179999999999999;26;5;0;5;16;0;0;0;0;0;5
1198519;10320810;2013;1;7.475;27;4;0;4;14;0;0;0;0;0;9
1198523;10320810;2013;1;7.307142857142857;24;14;0;14;6;0;0;0;0;1;3
1198524;10320810;2013;1;6.811764705882353;26;17;0;17;8;0;0;0;0;0;1
1198525;10320810;2013;1;7.233333333333333;23;12;0;12;7;0;0;0;0;0;4
1198526;10320810;2013;1;6.833333333333332;19;12;0;12;7;0;0;0;0;0;0
1198529;10320810;2013;1;6.688888888888888;23;9;0;9;9;0;0;0;0;2;3
1198535;10320810;2013;1;6.1;15;5;0;5;9;0;0;0;0;0;1
1198537;10320810;2013;1;5.2;30;5;0;5;17;0;0;0;0;3;5
1198538;10320810;2013;1;7.472727272727273;59;55;0;55;1;0;0;0;0;0;3
1198539;10320810;2013;1;7.088524590163935;79;61;0;61;7;0;0;0;0;4;7
1198540;10320810;2013;1;7.029166666666666;64;48;0;48;11;0;0;0;0;1;4
1198542;10320810;2013;1;6.865217391304348;27;23;0;23;4;0;0;0;0;0;0
1198543;10320810;2013;1;6.533333333333333;20;9;0;9;8;1;0;0;0;0;2
1198544;10320810;2013;1;6.514814814814816;31;27;0;27;2;0;0;0;0;1;1
1198545;10320810;2013;1;7.773333333333331;23;15;0;15;3;1;0;0;0;0;4
1198547;10320810;2013;1;7.004761904761905;28;21;0;21;5;1;0;0;0;0;1
1198548;10320810;2013;1;6.747058823529412;26;17;0;17;6;2;0;0;0;0;1
1198549;10320810;2013;1;6.759090909090909;28;22;0;22;4;1;0;0;0;0;1
1198550;10320810;2013;1;7.014285714285715;28;21;0;21;3;1;0;0;0;0;3
1198552;10320810;2013;1;7.45;8;6;0;6;1;0;0;0;0;0;1
1198553;10320810;2013;1;6.986666666666667;16;15;0;15;0;1;0;0;0;0;0
1198554;10320810;2013;1;7.078571428571429;14;14;0;14;0;0;0;0;0;0;0
1198556;10320810;2013;1;6.599999999999999;23;13;0;13;3;5;0;0;0;0;2
1198557;10320810;2013;1;6.586666666666665;23;15;0;15;4;0;0;0;0;2;2
1198558;10320810;2013;1;6.292857142857144;22;14;0;14;4;3;0;0;0;0;1
1198559;10320810;2013;1;7.347777777777777;136;90;0;90;37;5;1;0;0;0;3
1198560;10320810;2013;1;7.285365853658536;122;41;0;41;39;17;1;0;0;1;23
1198562;10320810;2013;1;7.305;83;40;0;40;15;11;0;0;0;4;13
1198563;10320810;2013;1;6.752941176470588;54;17;0;17;14;11;0;0;0;1;11
1198564;10320810;2013;1;7.772380952380953;127;105;0;105;12;4;0;0;0;2;4
1198565;10320810;2013;1;7.488524590163935;145;122;0;122;10;0;0;0;0;8;5
1198566;10320810;2013;1;7.314814814814815;76;54;0;54;11;7;0;0;0;0;4
1198567;10320810;2013;1;7.224000000000001;95;75;0;75;11;3;1;0;0;1;4
1198568;10320810;2013;1;6.977173913043477;125;92;0;92;14;8;0;0;0;1;10
1198570;10320810;2013;1;6.040000000000001;26;10;0;10;13;2;0;0;0;0;1
1198571;10320810;2013;1;6.175;27;8;0;8;14;2;0;0;0;0;3
1198572;10320810;2013;1;6.1933333333333325;31;15;0;15;11;1;0;0;0;0;4
1198573;10320810;2013;1;5.8;27;4;0;4;20;1;0;0;0;1;1
1198575;10320810;2013;1;7.627586206896552;34;29;0;29;5;0;0;0;0;0;0
1198576;10320810;2013;1;7.432;32;25;0;25;7;0;0;0;0;0;0
1198577;10320810;2013;1;7.612500000000001;30;24;0;24;5;0;0;0;0;0;1
1198578;10320810;2013;1;7.581250000000001;29;16;0;16;11;0;0;0;0;0;2
1198580;10320810;2013;1;6.1625000000000005;28;16;0;16;7;3;0;0;0;2;0
1198581;10320810;2013;1;6.066666666666667;30;9;0;9;13;3;0;0;0;1;4
1198582;10320810;2013;1;5.6875;27;8;0;8;9;4;0;0;0;1;5
1198583;10320810;2013;1;6.800000000000001;23;8;0;8;4;6;0;0;0;0;5
1198585;10320810;2013;1;6.2;80;25;0;25;40;7;0;0;0;1;7
1198587;10320810;2013;1;6.826785714285714;132;112;0;112;17;0;0;0;0;1;2
1198589;10320810;2013;1;6.231034482758622;81;29;0;29;21;2;0;0;0;0;29
1198591;10320810;2013;1;6.846511627906978;119;86;0;86;17;4;0;0;0;8;4
1198592;10320810;2013;1;8.1;1;1;0;1;0;0;0;0;0;0;0
1198634;10320810;2013;1;7.7;2;2;0;2;0;0;0;0;0;0;0
1198767;10320810;2013;1;9.3;1;1;0;1;0;0;0;0;0;0;0
1198771;10320810;2013;1;7.8;2;1;0;1;0;0;0;0;0;0;1
1199253;10320810;2013;1;9.7;1;1;0;1;0;0;0;0;0;0;0
1199275;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;0;1
1199292;10320810;2013;1;8.7;1;1;0;1;0;0;0;0;0;0;0
1199413;10320810;2013;1;7.966666666666665;15;12;0;12;1;0;0;0;0;1;1
1199442;10320810;2013;1;8.1;1;1;0;1;0;0;0;0;0;0;0
1199463;10320810;2013;1;7.4;1;1;0;1;0;0;0;0;0;0;0
1199802;10320810;2013;1;9.0;1;1;0;1;0;0;0;0;0;0;0
1199808;10320810;2013;1;8.5;1;1;0;1;0;0;0;0;0;0;0
1199864;10320810;2013;1;0.0;2;0;0;0;0;0;1;0;0;0;1
1199876;10320810;2013;1;9.6;1;1;0;1;0;0;0;0;0;0;0
1199907;10320810;2013;1;7.2;1;1;0;1;0;0;0;0;0;0;0
1199910;10320810;2013;1;0.0;1;0;0;0;0;0;0;0;0;0;1
