ano;periodo;id_turma;media_final_geral;total_alunos;qtd_aprovado;qtd_desistencia;qtd_reprovado_por_média_e_por_faltas;qtd_trancado;qtd_aprovado_por_nota;qtd_reprovado;qtd_reprovado_por_faltas;qtd_reprovado_por_nota_e_falta;qtd_reprovado_por_nota
2013;1;1196475;4.771428571428572;38;7;0;22;0;0;9;0;0;0
2013;1;1196476;5.875;31;4;0;0;0;0;27;0;0;0
2013;1;1196477;5.57;34;10;0;0;0;0;24;0;0;0
2013;1;1196478;6.036363636363635;40;11;0;25;0;0;3;1;0;0
2013;1;1196479;5.966666666666666;35;6;0;25;0;0;4;0;0;0
2013;1;1196480;5.166666666666667;30;6;0;17;0;0;7;0;0;0
2013;1;1196481;6.023529411764706;35;17;0;14;0;0;4;0;0;0
2013;1;1196482;5.866666666666666;27;3;0;20;0;0;4;0;0;0
2013;1;1196483;5.660000000000001;38;5;0;22;0;0;11;0;0;0
2013;1;1196484;5.409090909090909;38;11;0;13;0;0;14;0;0;0
2013;1;1196485;5.141176470588236;35;17;0;0;0;0;18;0;0;0
2013;1;1196486;4.75;38;4;0;25;0;0;9;0;0;0
2013;1;1196487;6.5;23;6;0;16;0;0;1;0;0;0
2013;1;1196488;5.0200000000000005;39;10;0;0;0;0;29;0;0;0
2013;1;1196489;5.0;23;5;0;0;0;0;18;0;0;0
2013;1;1196490;4.633333333333334;37;9;0;19;0;0;9;0;0;0
2013;1;1196491;5.666666666666667;36;6;0;22;0;0;8;0;0;0
2013;1;1196492;5.025;31;8;0;20;0;0;3;0;0;0
2013;1;1196493;5.166666666666667;32;9;0;0;0;0;23;0;0;0
2013;1;1196494;5.16;39;5;0;34;0;0;0;0;0;0
2013;1;1196495;4.6625000000000005;38;8;0;26;0;0;4;0;0;0
2013;1;1196496;4.983333333333333;40;6;0;0;0;0;34;0;0;0
2013;1;1196497;5.120000000000001;36;5;0;22;0;0;9;0;0;0
2013;1;1196498;5.039999999999999;38;5;0;23;0;0;10;0;0;0
2013;1;1196499;5.58;39;10;0;25;0;0;4;0;0;0
2013;1;1196500;6.19;39;10;0;26;0;0;3;0;0;0
2013;1;1196501;5.066666666666666;32;9;0;0;0;0;23;0;0;0
2013;1;1196502;5.542857142857144;36;7;0;0;0;0;29;0;0;0
2013;1;1196503;5.766666666666667;32;12;0;0;0;0;20;0;0;0
2013;1;1196504;5.762500000000001;34;16;0;15;0;0;3;0;0;0
2013;1;1196505;5.621428571428571;38;14;0;0;0;0;24;0;0;0
2013;1;1196506;4.78125;40;16;0;19;0;0;5;0;0;0
2013;1;1196507;5.800000000000001;39;9;0;22;0;0;8;0;0;0
2013;1;1196508;4.957142857142856;34;7;0;0;0;0;27;0;0;0
2013;1;1196509;4.757142857142857;34;7;0;25;0;0;2;0;0;0
2013;1;1196510;4.188888888888888;39;9;0;24;0;0;6;0;0;0
2013;1;1196511;4.375;35;8;0;19;0;0;8;0;0;0
2013;1;1196512;4.533333333333333;35;3;0;28;0;0;4;0;0;0
2013;1;1196513;4.550000000000001;38;4;0;24;0;0;10;0;0;0
2013;1;1196514;4.372727272727274;35;11;0;21;0;0;3;0;0;0
2013;1;1196515;4.973333333333333;38;15;0;16;0;0;7;0;0;0
